j,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
26,0.000,-0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.004,0.008,0.016,0.032,0.061,0.108,0.179,0.274,0.384,0.494,0.589,0.661,0.706,0.726,0.725,0.710,0.688,0.664,0.643,0.625,0.611,0.600,0.591,0.583,0.576,0.569,0.562,0.555,0.547,0.540,0.533,0.526,0.519,0.513,0.506,0.500,0.494
27,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.005,0.010,0.019,0.037,0.067,0.118,0.191,0.287,0.396,0.502,0.594,0.662,0.704,0.721,0.719,0.704,0.682,0.659,0.638,0.621,0.607,0.597,0.588,0.581,0.574,0.567,0.560,0.553,0.546,0.539,0.532,0.525,0.519,0.513,0.506
28,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.003,0.006,0.011,0.022,0.041,0.074,0.127,0.202,0.299,0.406,0.509,0.597,0.661,0.700,0.716,0.713,0.698,0.676,0.654,0.633,0.617,0.604,0.594,0.585,0.578,0.572,0.565,0.558,0.552,0.545,0.538,0.531,0.525,0.518
29,0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.003,0.006,0.013,0.024,0.045,0.080,0.135,0.213,0.309,0.414,0.515,0.599,0.660,0.697,0.711,0.707,0.692,0.671,0.649,0.629,0.613,0.601,0.591,0.583,0.576,0.570,0.563,0.557,0.550,0.543,0.537,0.530
30,0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.004,0.007,0.015,0.027,0.050,0.087,0.143,0.222,0.318,0.421,0.519,0.600,0.659,0.693,0.706,0.701,0.686,0.665,0.644,0.625,0.610,0.598,0.588,0.580,0.574,0.567,0.561,0.555,0.548,0.542
31,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.004,0.009,0.016,0.030,0.054,0.093,0.151,0.230,0.326,0.428,0.523,0.601,0.657,0.689,0.701,0.696,0.681,0.661,0.640,0.622,0.606,0.595,0.586,0.578,0.571,0.565,0.559,0.553
32,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.003,0.005,0.010,0.018,0.033,0.058,0.098,0.158,0.238,0.333,0.433,0.525,0.601,0.655,0.685,0.696,0.691,0.676,0.656,0.636,0.618,0.603,0.592,0.583,0.576,0.569,0.563
33,0.000,-0.000,-0.000,0.000,-0.000,0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,-0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.003,0.006,0.011,0.020,0.035,0.062,0.103,0.164,0.244,0.339,0.437,0.527,0.600,0.652,0.681,0.691,0.686,0.671,0.652,0.632,0.615,0.600,0.589,0.581,0.572
34,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.003,0.006,0.012,0.021,0.038,0.065,0.108,0.170,0.250,0.343,0.440,0.528,0.599,0.649,0.677,0.686,0.681,0.666,0.648,0.628,0.611,0.598,0.585
35,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.004,0.007,0.013,0.023,0.040,0.069,0.113,0.175,0.255,0.347,0.442,0.528,0.597,0.646,0.673,0.682,0.676,0.662,0.643,0.626,0.608
